CommectIds,Comments
EPA-HQ-ORD-2016-0632-0024,"A regulator has an obligation to the regulated community and the public to show that there is a tangible benefit to justify the additional cost. Regulatory costs affect not just the regulated industry, but society at large in the form of higher energy prices, fewer jobs, less government revenue, and slower economic growth. Past  EPA  has failed in its obligation and simply ignores laws that require proper justification and economic analysis .including (i) Executive Order 13563; (ii) Executive Order 12866 (Regulatory Planning and Review); (iii) the Regulatory Flexibility Act of 1980; (iv) the Small Business Regulatory Enforcement Fairness Act; and (v) the Unfunded Mandates Reform Act.  <br/>On  June 14, 2016   Senate Finance Committee Chairman Orrin Hatch (R-Utah)   opening statement   Instead of discouraging the domestic production of oil and gas, we should welcome it.  By reducing our dependence on foreign oil, creating many high-paying jobs, and bringing down the cost of living for U.S. households, increased domestic energy production can protect our national security and provide greater economic stability.  with the various &quot;carbon tax&quot; proposals, is Higher taxes in the form of increased energy costs and reduced wages, relative to the cost of living.  In addition to increasing costs, particularly on middle class and lower income earners. The (Obama ) President&#39;s energy policy was  hyper-focused on picking winners and losers and in handing over taxpayer resources to unproven ideas and technologies that, like windmills,  far too often, are completely unable to compete in the energy marketplace.  I do not believe we should be purposefully stopping or raising the cost of existing and proven energy sources - and adding to the costs of doing business or raising a family in the U.S. - in order to make alternative energy sources more attractive . I think we need to work to ensure that our tax code is designed so that it does not punish the production of any viable energy source. The fundamental question related to BLM&#39;s  is whether we as a nation want to encourage responsible energy development on the vast, multiple-use public lands of the United States, or do we want to shut it down. If the goal is to continue to discourage oil and natural gas development on federal lands, then this regulations will indeed further that goal.  Many rule are a broad new regulatory regime with no real justification as it adds cost and delay to energy development with no identified environmental benefit; duplicates yet usurps state regulation; and cannot be implemented in an efficient manner. If indeed the answer is that we want to encourage the continued environmentally responsible development of oil and natural gas on appropriate multiple-use public lands , then regulations are counterproductive to that goal and should be rescinded.<br/>"
EPA-HQ-ORD-2016-0632-0016,"Today the  Endangered Species Act (ESA) is failing to achieve its primary purpose of species recovery and instead has become a tool for litigation that drains resources away from real recovery efforts on the state, tribal and local level and blocks job-creating economic activities. original goal was to preserve and recover key domestic species from the brink of extinction. Recommends constructive changes in the following categories:  1. Ensuring Greater Transparency and Prioritization of ESA with a Focus on Species Recovery and De-Listing  2. Reducing ESA Litigation and Encouraging Settlement Reform .  3 Empowering States, Tribes, Local Governments and Private Landowners on ESA Decisions Affecting Them and Their Property.  4  Requiring More Transparency and Accountability of ESA Data and Science.  The ESA, federal implementation of it, and seemingly never-ending litigation are creating increasing impediments towards reaching that goal. Only by removing these impediments can the ESA be improved for the benefit of saving species. Federal agencies that implement ESA should not list species unless and until they are able to identify actual recovery and numerical goals for healthy species populations upfrontbefore, or at the time of any proposed rule involving listing a species. Recovery plans should be drafted and completed and approved before listing or critical habitat is designated, not as an afterthought, years later, or not at all. Rather than basing decisions on vague trends showing decline or improvement or &quot;professional opinions,&quot; ESA listing/delisting petitions should not be accepted by federal ESA implementing agencies unless  based on actual data relating to species&#39; condition.  Data used for listing decisions should be made public, especially if the data and related studies are being financed by the taxpayer. Federal agencies should have discretion to extend 12 month or 90-day deadlines relating to species listing or critical habitat determinations, without fear of spurious litigation. Rather than force federal agencies to accept petition with equal weight no matter how lacking  science and data. Agencies should allow to incorporate the best and most current data. Agencies&#39; Listing Priority Guidance (48 Fed. Reg. 43098) should supersede any conflicting 12-month or 90-day deadline set by rule, settlement or other action. Several terms in the law have become magnets for misinterpretation, conflicting interpretations, or even litigation, and should be clarified, including, for example: &quot;foreseeable future&quot;; &quot;significant portion of the range,&quot; &quot;jeopardy&quot; to a species, the technological and economic feasibility of &quot;reasonable and prudent alternatives/measures,&quot; and &quot;maximum extent practicable&quot; relating to mitigation. Federal agencies should be required to disclose all details of consent decrees to Congress and an appropriate NEPA process should be applied for settlements to ensure public input in ESA decisions, and to ensure they include best scientific data. Litigious groups and plaintiffs should be discouraged from filing procedural challenges against agencies simply because they do not agree with the agency&#39;s decisions, (such as delisting determinations, findings of species listing not warranted). Litigants should be required to pay their own way to curb repeated litigation and foster court cases only on substantive matters. To discourage forum shopping by frequent ESA-litigation-plaintiffs, ESA lawsuits should not be permitted in federal courts other than in a state a species is primarily located. Hourly fees paid by the federal government to litigious attorneys for ESA litigation should be capped like other federal statutes to prevent lucrative payment of attorneys&#39; fees. non-governmental organizations or individuals that file ESA-related lawsuits against the federal government should be barred from receiving federal taxpayer-funded grants. Since money is fungible, litigation should not be subsidized by taxpayers. Section 6(a) should be strengthened to ensure that states&#39; roles in ESA policy provisions have meaning and are enforceable. To encourage voluntary Habitat Conservation Plans should be exempt from critical habitat designations. Secretaries of the Interior and Commerce should authorize  certain circumstances to reevaluate, without judicial review, any critical habitat or listing decision where evidence shows significant economic harm .  critical habitat economic analyses should be required at the time of any proposed listing .  federal agencies should be required to justify why data relied upon for ESA decision is the &quot;best available&quot; and why such data is deemed &quot;accurate&quot; and &quot;reliable.&quot; Data used by federal agencies for ESA decisions should be made publicly available .  To ensure accountability, ESA-related peer reviews that do not comply with the Data Quality Act should be deemed &quot;arbitrary and capricious<br/><br/>"
EPA-HQ-ORD-2016-0632-0017,"Wind Turbines Kill 100,000 of bats a year,  which Hurt FARMERS.  Bats help reduced pesticides on crops,  and seed pollinate the forest which helps keep water clean.  . Loss of bats could lead to... agricultural losses ...estimated at 3.7 billion 53 billion per year...to farmers and crops not counting the forest.    Taking billions from farmers and forest,  for wind farms is a waste money and totally nonsense"
EPA-HQ-ORD-2016-0632-0021,"Many  Nations  would like  to  add  more  natural  gas  into  their  electricity  mix  given  its  affordability and low emissions,  and Hydraulic fracturing with U.S. LNG exporting Is widely seen  as  an  excellent  source  of  new  supply. In  A  geopolitical  context, the  benefits  of  diversity  apply  to  suppliers as well as  Gas supplies,  and  the  added  option of  New US drilling Technology  enhances  both kinds of diversity.  This  Is  especially  important  to  Central And  Eastern European  Nations  heavily  reliant  on  Russia  For  natural  gas. This Dependence  has  not  only  led  to  higher prices, but also to  the  ability  of  Russia to exert political pressure on these nations. October  10, 2013, The  Subcommittee On  Energy  And  Power  Hosted  a forum:   Rene Jean-Jumeau, Haiti&#39;s Minister Delegate to the Prime Minister, sees U.S. LNG exports as a means for his country to transition &quot;from an aid based relationship to a trade based relationship.&quot; He said, &quot;The question  of  energy  is central to every type  of  issue  of  development  that  we  can consider.&quot; Jean-Jumeau added that replacing the oil Haiti currently uses  to   generate electricity  with natural  gas  would  lead  to  &quot;a  reduction  in  the  cost  of  electricity  by  at  least  30  percent.&quot;  This  would  have  the  double  benefit  of  making  electricity  more  accessible  to  the  citizens  of  Haiti  (a  majority  of  Haitians  do  not  yet  have  access  to  it),  while  also  ensuring  the  low  energy  prices  necessary  to  attract  investment  in  manufacturing. U.S. .  LNG Exports would serve to strengthen This kind of  cooperation. Ashok Kumar Mirpuri Singapore&#39;s Ambassador To  the  United States, said,  &quot;Increased  LNG Exports to Asia Would  further anchor the U.S. Economic presence and Further contribute  to  enhancing  the  region&#39;s energy security. In Doing  so,  the  U.S. Would strengthen Its partnerships  in the  region, serving regional  stability and Its global interests.&quot; Similarly,  Anita Orban, Hungary&#39;s Ambassador-at-Large for Energy Security Of the  Ministry Of Foreign Affairs, said That &quot;the United States Can advance its own foreign  policy Objectives with a  new tool which is called energy diplomacy.&quot; In effect, rising American Natural gas exports would lead  to  rising American Global  influence,  a development that these nations welcome. many Asian Nations are highly dependent on  imports  for  their  energy needs,  much Of which comes  from the unstable  Middle  East. For This  reason, the Prospect of  U.S. LNG  Is Especially valued for its stability. For example, Yasushi  Akahoshi, Japan&#39;s  Minister Of Economy, Trade,  Industry  And Energy,  Said that &quot;half Of  the expanded demand  for natural gas is coming from the Middle East,  And  our dependence  on that region is  rising.&quot; He  concluded that &quot;the Import  from  the U.S.  Would  be  the  most reliable supply, which  could bring  about  less  dependency  on the  Middle  East.&quot; Taranjit Singh Sandhu, India&#39;s Deputy  Chief  Of  Mission,  Stated that U.S. LNG Exports &quot;would Provide a steady, reliable supply Of clean  energy and  help  diversify  our imports from Our traditional suppliers.&quot;  It  Should  also  be  noted  that many  of the Nations participating  in  the  forum  have  cooperated with  the  U.S. to  impose Economic sanctions  on  Iran.  Quite  arguably,  American  self-sufficiency  in Natural gas  has  made it  easier  for  these  nations to Do so since they  now are less dependent on Iranian natural gas. Jaroslav Zajicek, Deputy Chief  Of  Mission  For  the  Czech  Republic,  Relayed  similar experiences. He Explained that  the  sharp  drop in U.S. Imports  of natural gas Is already  helping  by freeing  up additional  supplies  from  the Caribbean And other sources that  were  once  destined for The U.S.  But now  serve the  Western  European market. &quot;We  Have already seen  examples where the  Russian negotiating position during  contract-renewal talks  was weakened  thanks  to decreasing prices  on the  markets in Western  Europe,&quot; He said. With regard To the threat of Russian  Supply  disruptions  to the  Czech  Republic, Zajicek Urged  that  &quot;if Supplies  get cut, if  our  security  is  in  threat, we  have  to stand  for  each  other.  U.S.  LNG and  US Hydraulic fracturing Would  benefit  the common security  of  the  whole  transatlantic  family.&quot; Russia  Has  a  history  of  threatening to  cut  off Supply  to  Lithuania  And  other nations and  has  occasionally followed through on those threats. &quot;An  Ability to obtain natural gas from the U.S., even if very small amounts by U.S. standards,  would make a huge  impact  on the Lithuanian Gas  market  and  allow the  nation to develop a reliable alternative  to  Russian gas."
EPA-HQ-ORD-2016-0632-0035,See attached comments of the Utility Water Act Group (UWAG).
EPA-HQ-ORD-2016-0632-0020,"Wind turbines development Might be against Article 14, Section 4 of the New York State Constitution, which specifically states that the policy of the state is to &quot;encourage the development and improvement of its agricultural lands for the production of food and other agricultural products [which]...shall include the protection of agricultural lands.&quot;. Wind Turbines are a hazard for terrestrial and aquatic habitat for 18 animal species listed as endangered or threatened in New York State that are protected under the State Endangered Species Law and associated regulations. Ecological and economic importance of insectivorous bats in Agriculture. the increased development of wind-power facilities are threatening populations of insectivorous bats Endangered and threatened wildlife may be adversely impacted through project actions such as clearing, grading and road building that occur within the habitats that they occupy. Certain species are unable to avoid direct impact due to their inherent poor mobility (e.g., Blanding&#39;s turtle, club shell mussel, and the brook floater and green floater). Bats are voracious predators of nocturnal insects, including many crop and forest pests. Analyses suggesting that loss of bats in North America could lead to agricultural losses estimated at more than $3.7 billion/year. Bats play an incredibly important role in the ecosystem, eating billions of crop-destroying insects like moths and beetles, as well as mosquitoes. But in just four years, more than a million bats have been killed. The Indiana bat is a temperate, insectivorous, migratory bat. In spring, reproductive females migrate and form maternity colonies where they bear and raise their young in wooded areas. Accordingly, significant adverse impacts to ecosystems and wildlife would result. depending upon the level of development, some agricultural land could be lost. adverse impacts to organic agriculture. The potential significant adverse environmental impacts relating to agricultural land must be considered within the framework of the goals . The severity of impacts on community character in rural communities would be greater for those areas where development is focused in a particular location or region. New York State also has special or unique character, have been afforded additional protection to ensure their availability for public use, enjoyment, and provide important wildlife habitat and open space. Surface disturbance associated with wind turbines noise and visual effects could have negative impacts on habitats on state-owned lands, and recreational use of those lands, especially in large contiguous forest patches that are valuable because they sustain wide-ranging forest species and provide important habitat for forest interior species. significant increase of visual, noise, and traffic impacts of wind turbines results in greater significant site-specific and cumulative impacts to constitutionally protected Forest Preserve land, adversely impacting its mandated &quot;forever wild&quot; forest land character and preventing the public from having a Forest Preserve experience characterized by peace and quiet as envisioned by those who framed the Forest Preserve&#39;s constitutional protection."
EPA-HQ-ORD-2016-0632-0031,"December 12, 2017<br/> <br/>To:<span style='padding-left: 30px'></span>OMB Desk Officer for EPA<br/><br/>Re:<span style='padding-left: 30px'></span>Comments Regarding Docket ID Number EPA-HQ-ORD-2016-0632 - <br/>Information Collection Request (ICR) Submitted to the Office of Management and Budget (OMB) for Review and Approval; Willingness to Pay Survey to Evaluate Recreational Benefits of Nutrient Reductions in Coastal New England Waters <br/><br/>On behalf of Barnstable Clean Water Coalition, we are pleased to provide this letter of support for the EPA Office of Research and Development&#39;s Information Collection Request, <br/>&quot;Willingness to Pay Survey to Evaluate Recreational Benefits of Nutrient Reductions in Coastal New England Waters (New)&quot;<br/> <br/>Barnstable Clean Water Coalition, works to restore and preserve clean water in the town of Barnstable on Cape Cod. The Coalition utilizes science as its foundation to educate, monitor, mitigate and advocate for clean water. Our mission merges science, technology, community stewardship and environmental conservation, all while working with other like-minded non-profits; local, state and federal resource managers; and scientific institutions.    <br/><br/>The estuaries and bays surrounding the Cape are significantly impaired, mostly from excess levels of nitrogen and other contaminants flowing into them from upstream sources and groundwater discharge. The degradation of our coastal waters is not only scientifically measurable, but anyone who has spent time on the water recently has noticed the changes. We know how important clean water is to our health, environment, and especially, our local economy.<br/><br/>The Coalition strongly supports the proposed new EPA survey of recreational benefits of nutrient reduction in coastal waters of New England.  <br/><br/>Regards,<br/> <br/>Zenas Crocker<br/>Executive Director<br/>Barnstable Clean Water Coalition<br/>zcrocker@bcleanwater.org <br/>"
EPA-HQ-OW-2003-0071-0014,"36 public comments received for W-00-16, available for review at the Water Docket in the EPA Docket Center"
EPA-HQ-OW-2019-0415-0048,"Comments submitted by RES. Michael Hare - Director, Government Affairs and Communications"
EPA-HQ-OW-2019-0415-0053,See attached file(s)
EPA-HQ-OW-2019-0415-0052,"Please see the attached file from Restoration Systems, LLC providing comments on the proposed changes to EPA&#39;s Water Quality Trading policy.<br/><br/>"
EPA-HQ-OW-2019-0415-0068,Attached please find comments and related documents submitted by the Western Urban Water Coalition.  Thank you for considering this information.
EPA-HQ-OW-2019-0415-0065,Please see the attached file in .pdf format that replaces my earlier submission from today in .docx format.
EPA-HQ-OW-2019-0415-0064,Please see the attached comment submitted by the National Cattlemen&#39;s Beef Association.
EPA-HQ-OW-2019-0415-0072,See attached State Comment.
EPA-HQ-OW-2019-0415-0017,"A water quality trading framework should be selective in what qualifies as a tradeable credit for good water quality. Such a framework should enforce a strong preference for awarding credits for actions that demonstrably improve water quality, as opposed to those that simply protect high water quality from future degradation. Although effective protection actions are laudable, the water quality trading framework should be set up to ensure not only non-degradation within the market, but to ensure an overall improvement in water quality throughout all state and federal waters."
EPA-HQ-OW-2019-0415-0024,See comments attached from the American Water Works Association (AWWA).
EPA-HQ-OW-2019-0415-0023,"On behalf of the Family Farm Alliance (Alliance), I thank you for this opportunity to provide input  on Environmental Protection Agency (EPA) policy approaches for addressing baseline issues in watersheds with EPA-approved Total Maximum Daily Loads (TMDLs). This is intended to assist policy makers who would like to pursue water quality trading as a regulatory option for National Pollutant Discharge Elimination System (NPDES) permit compliance.<br/><br/>The Alliance is a grassroots organization of family farmers, ranchers, irrigation districts, and allied industries in 16 Western states.  The Alliance is focused on one mission:  to ensure the availability of reliable, affordable irrigation water supplies to Western farmers and ranchers.  We are also committed to the fundamental proposition that Western irrigated agriculture must be preserved and protected for a host of economic, sociological, environmental and national security reasons  many of which are often overlooked in the context of other national policy decisions.  The Family Farm Alliance and the farmers and organizations we work with are dedicated to the pragmatic implementation of actions that seek to find a sustainable balance of environmental protection and economic prosperity. <br/><br/>In general, we agree with the approaches and definitions proposed in Section III of EPAs document. We support the revised baseline definition, and believe it will encourage stakeholders to make progress towards meeting water quality standards while allowing credits to be generated without unnecessary delay. We believe additional pollutant reductions from nonpoint sources used to generate credits could also be used to generate reductions to achieve a TMDL load allocation. The incremental baseline approach, employing compliance schedules, the use of Water Quality Standard (WQS) variances, and the concept of an in-lieu fee program proposed by EPA all have merit. These could be useful tools for policy makers and permitting authorities to implement market-based programs, including water quality trading. The EPA also recommends that any alternate approaches that states decide to adopt should be clear, transparent, and demonstrate that the overall planned reductions in the watershed are sufficient to meet the overall TMDL allocations for the watershed. We believe these are viable and appropriate options.<br/>Conclusions<br/><br/>As EPA considers public comments and refines its current proposal, we urge that your agency seek to advance a philosophy that strives to protect those nonpoint sources that are not participating in voluntary water quality markets from being additionally regulated in any way. We need to ensure there are not unintended impacts. We believe Western farming and ranching communities would be supportive of these concepts if EPA clearly shows these concerns are being addressed. <br/>There are only so many ways to restore health to a river, all which center on restoring the form and function of waterways.  Simple actions like planting native trees along streambanks, cover cropping or fencing livestock represent the bulk of these.  Newer, more advanced actions, such as drain water management and saturation buffers, can also improve agricultural production while decreasing water quality impacts. However, complicated funding and permitting processes that are poorly timed against agricultural work windows thwart efficiency. Further, not all conservation is created equal: some sites make a big difference and some, none.  <br/><br/>Western farmers and ranchers can play a key role in using their lands, water and management practices as tools to engage in market-based programs, including payment for ecosystem services (PES) projects. These types of projects can create opportunities for partnerships with landowners, business, NGOs, and agencies that can significantly improve the environment, business climate, and quality of life within Western watersheds. A voluntary system of payments may be more socially acceptable and effective than extensive additional regulation; and help to preserve our Nations ability to produce food and fiber for future generations.  <br/><br/>We appreciate the critical discussion and reflection that EPA is applying to market-based approaches, and stand ready to work with EPA on building that platform and engaging the Western farm and rangelands community about market-based approaches. We believe a well-designed water quality  trading program can make some ranching or farming operations even more financially and environmentally viable.  <br/><br/>Thank you for this opportunity to provide comments to you. Please do not hesitate to contact me at dan@familyfarmalliance.org if you require further information. <br/>"
EPA-HQ-OW-2019-0415-0016,See attached file(s)
EPA-HQ-OW-2019-0415-0033,For further information please contact:<br/>Doug Miell - 404-771-8635
EPA-HQ-OW-2019-0415-0028,"Attached are our comments on the Notice above.<br/><br/>Please contact us if you have questions about this submission.<br/><br/>Cordially,<br/><br/>Michael H. Levin<br/>Managing Member<br/>NLGC, LLC<br/><br/>Michael H. Levin Law Group, PLLC<br/>3605 Tilden Street NW, Washington DC 20008<br/>Tel:  202-828-3212<br/>Cell: 202-253-4674<br/>W: www.mhllawgrp.com <br/><span style='padding-left: 30px'></span>www.carbonfs.com <br/><br/>Member:<br/> NLGC, LLC<br/>Carbon Finance Strategies LLC <br/><br/>"
EPA-HQ-OW-2019-0415-0022,See attached file(s)
EPA-HQ-OW-2019-0415-0012,See attached file(s)<br/>
EPA-HQ-OW-2019-0415-0004,"November 11, 2019<br/><br/>Submitted via www.regulations.gov<br/><br/>Mr. David Ross<br/>Assistant Administrator, Office of Water <br/>U.S. Environmental Protection Agency<br/>1200 Pennsylvania Avenue NW. <br/>Washington, DC 20460<br/><br/>Attention: Docket ID No. EPAHQOW20190415; FRL1000002OW<br/><br/>Re:<span style='padding-left: 30px'></span>Request for Extension of Comment Period on Approaches to Baseline Issues in Watersheds with TMDLs, and Where Trading is a Regulatory Option <br/><br/>Dear Administrator Ross:<br/><br/>The National Pork Producers Council (NPPC) requests a 30-day extension of the comment period on US Environmental Protection Agencys (EPA) recently issued policy approaches for addressing baseline (baseline policy approaches) issues in watersheds with EPA-approved Total Maximum Daily Loads (TMDLs) where policy makers would like to pursue water quality trading as a regulatory option for National Pollutant Discharge Elimination System (NPDES) permit compliance.  EPA published the notice of these policy approaches and that it was seeking comment from the public on September 19, 2019.  <br/><br/>NPPCs 60,000 pork producer members own and operate facilities that raise swine. NPPC works closely with 42 affiliated state associations to ensure that the U.S. pork industry remains a consistent and responsible supplier of high-quality pork to domestic and international markets. Our producer members are committed to sustainability, sound manure management to protect water and air quality, and the welfare and well being of their animals. NPPC, representing these farmers, has a direct and significant interest in any Clean Water Act (CWA) policies that are established by the federal government, including these baseline policy approaches.<br/><br/>We request this short extension to allow us the time to fully consult with our members and to gather information from state agencies and NPDES permit holders about how they see the baseline policy approaches best working.  Some of this information gathering will not be able to take place until later this month.  We seek this additional time to allow us to process what we have learned and provide you with meaningful comments.<br/><br/>We thank you for your time and consideration.<br/><br/>If you have any questions, please dont hesitate to contact me at 202-347-3600.<br/><br/>Sincerely,<br/><br/>Michael C. Formica<br/>Assistant Vice President &amp; Legal Counsel, Domestic Policy<br/>National Pork Producers Council<br/>"
EPA-HQ-OW-2019-0415-0013,See attached file.
EPA-HQ-OW-2019-0415-0073,The Ecological Restoration Business Association appreciates the opportunity to provide comments on water quality trading. Please see the attached document for our formal comments. Please do not hesitate to reach out with any questions. 
EPA-HQ-OW-2019-0415-0077,Please see attached comments on behalf of the Virginia Municipal Stormwater Association.
EPA-HQ-OW-2019-0415-0050,"December 17, 2019<br/><br/>Submitted via regulations.gov<br/><br/>David P. Ross<br/>Assistant Administrator<br/>Office of Water<br/>U.S. Environmental Protection Agency<br/>1200 Pennsylvania Avenue N.W.<br/>Washington, D.C.  20460<br/><br/>RE:<span style='padding-left: 30px'></span>Water Quality Trading Under the National Pollutant Discharge Elimination System Program (Docket ID No. EPA-HQ-OW-2019-0415)<br/><br/>Dear Mr. Ross:<br/><br/>Thank you for the opportunity to provide comment in response to the U.S. Environmental Protection Agency&#39;s (EPA or the Agency&#39;s) request for comments published in the September 19, 2019 Federal Register concerning issues associated with &quot;baseline&quot; in water quality trading programs. See Water Quality Trading Under the National Pollutant Discharge Elimination System, 84 Fed. Reg. 49,293 (Sept. 19, 2019).  <br/><br/>On behalf of Maryland &amp; Virginia Milk Producers Cooperative Association, Inc., I write to express our strong support for the Agency&#39;s efforts to modernize its water quality trading policy. Owned by 900 dairy farm families, Maryland &amp; Virginia Milk Producers Cooperative Association, Inc., is milk marketing cooperative moving nearly 3 billion pounds of milk each year from family farms to the marketplace. The cooperative also operates two consumer products processing facilities and two ingredients processing facilities. <br/><br/>Fifteen years have passed since EPA adopted its 2003 Water Quality Trading Policy. In that time, much has changed. As EPA observes, nonpoint source reduction technologies and practices have developed substantially, along with our ability to understand the impact of those practices on the environment. In addition, while the 2003 Policy was innovative and forward-thinking at the time of its adoption, it has been criticized as confusing and inflexible in certain respects. We agree with EPA that simplified and more flexible approaches to baseline are necessary to facilitate the development of robust water quality trading policies. <br/><br/>Maryland &amp; Virginia Milk Producers Cooperative Association, Inc., substantially agrees with the comments submitted in this docket by Newtrient LLC. Newtrient&#39;s comments are informed by its extensive technical expertise and highlight the ways in which revised EPA policy relating to the &quot;baseline&quot; for credit generation by nonpoint sources in Total Maximum Daily Load (TMDL) watersheds can foster the development of more robust water quality trading programs. Specifically:<br/><span style='padding-left: 30px'></span>We strongly support the EPA&#39;s February 6, 2019 Memorandum titled &quot;Updating the Environmental Protection Agency&#39;s (EPA) Water Quality Trading Policy to Promote Market-Based Mechanisms for Improving Water Quality&quot; and the six principles announced in that memorandum. <br/><span style='padding-left: 30px'></span>We support allowing nonpoint sources to generate credits for any pollutant reductions the nonpoint source makes that are not included in the assumptions that support the TMDL. It is crucial that EPA&#39;s approach to baseline avoid creating unnecessary barriers to participation such as requiring nonpoint sources to achieve restrictive &quot;sector&quot; allocations prior to generating tradeable credits.<br/><span style='padding-left: 30px'></span>We support the additional flexibility for nonpoint sources to generate tradeable water quality credits under the &quot;incremental baseline&quot; concept proposed by EPA. We further encourage EPA to consider other innovative approaches to address the achievement of TMDL load allocations while encouraging broad participation in water quality trading. <br/><br/>We believe in the ability of market-based mechanisms to incentivize voluntary water quality improvement efforts by landowners and farmers, and we look forward to continued engagement with the Agency as part of the Agency&#39;s important work in this area. <br/><br/>Please contact me at 703-742-6800 or via email jbryant@mdvamilk.com if I can provide further assistance to EPA in advancing this important policy effort. <br/><br/>Sincerely, <br/>Jay Bryant, CEO<br/><br/>See attached file(s)"
EPA-HQ-OW-2019-0415-0054,See attached file(s)
EPA-HQ-OW-2019-0415-0061,See attached file(s)
EPA-HQ-OW-2019-0415-0070,See attached file(s)
EPA-HQ-OW-2019-0415-0038,"Please see the attached comments from the Environmental Integrity Project, the Waterkeeper Alliance, and 77 Waterkeeper Organizations and Affiliates."
EPA-HQ-OW-2019-0415-0018,"As stated in my attached letter, Kreider Farms fully supports EPAs strategy to provide programmatic flexibility and the reduction of barriers to promote trading and further engage market solutions.    (Ron Kreider, President/CEO, Kreider Farms)"
USCG-2003-14273-0012,"Dear Sir or Madam:<br/><br/>I am the Cargo Operations Manager for Sause Bros., a tug and barge company located on the west coast.  We currently have a fleet of 13 ocean going tugs and 20 ocean going barges that operate throughout the Pacific.  Specifically, we are now operating six barges and three tugs between the Pacific Northwest and Hawaii while the remainder of the vessels operate along the coast between Canada and Mexico.<br/><br/>Sause Bros is very concerned with the referenced proposed rulemaking (NPRM) to make the voluntary ballast water management program mandatory and applying to all vessels.  We are members of the American Waterways Operators and heartily endorse their position on this issue.<br/><br/>Sause Bros.&#39; barges will not be able to follow the guidelines as written.  Our barges are all equipped with stern ballast tanks which must be utilized during the loading and unloading process.  This process of loading and discharge takes place at coastal lumber mills, port docks along the Columbia River, and alongside public docks in Hawaii.  The guidelines request that ballasting not take place over coral reefs, areas near sewage outfalls, areas near dredging operations, areas where tidal flushing is known to be poor, in darkness, or where propellers may stir up the sediment.  These areas are precisely where our barges load and discharge. <br/><br/>In addition, the NPRM requests that all vessels employ at least one of the following ballast management practices.  <br/>  1.  Exchange ballast water 200 miles from shore.  This is unrealistic and not possible to do (safely) on our unmanned barges.<br/>  2.  Retain the ballast water.  When our barges are empty, all ballast (stern tanks) must be removed so that the barge does not pound on the return trip damaging the bow of the vessel.  New barges could be built to hold the ballast...but the present fleet does not have the capability.<br/>  3.  Use an environmentally sound method of ballast water management approved by the USCG.  We are not aware of any such alternatives.<br/>  4.  Discharge ballast water to an approved reception facility.  There are none...or few.  Also, if there were any facilities, it would be a great expense to truck the water to the facility....since the deballasting for our barges must take place at the discharge location...not at the approved reception facility.<br/><br/>As you can see, our company will have a difficult time trying to comply with the NPRM.....and, indeed, may find that some of the guidelines are impossible to follow.  <br/><br/>We also have concerns with the ballast reporting form.  The form is specific for one vessel.  The tug and barge industry operates in clusters of two or more vessels.  Could the form be specific to a tow which might include one tug and two barges?  This would reduce the paperwork involved while presenting the same information.  Also, the form could be more tug and barge &quot;friendly&quot; using terms and measurements that are common to the industry.  <br/><br/>In summary, our concerns are that the NPRM, as written, seems to be based on deep sea vessels (ships) coming into US waters.  For that purpose it may be acceptable.  However, the tug and barge industry utilizing unmanned, un-powered vessels operating in shallow, tidal waters is unique and does not fit well into the guidelines.<br/><br/>Thank you for the opportunity to comment on this NPRM.  We hope the Coast Guard and AWO can work together in &quot;fine tuning&quot; the rules on ballast water management before they become law.<br/><br/>"
USCG-2003-14273-0050,
USCG-2003-14273-0009,
USCG-2003-14273-0035-0008,
USCG-2003-14273-0040,
USCG-2003-14273-0038,
USCG-2003-14273-0031,
USCG-2003-14273-0028,
USCG-2003-14273-0046,
USCG-2003-14273-0019,
USCG-2003-14273-0020,
USCG-2003-14273-0035-0013,
USCG-2003-14273-0035-0009,
USCG-2003-14273-0042,
USCG-2003-14273-0041,
USCG-2003-14273-0033,
USCG-2003-14273-0005,"The &quot;do nothing alternative,&quot; though an important part of any analysis, clearly does not apply with regard to ballast water management based on case history of environmental impacts from past oversight due, in part, to the lack of advanced technological knowledge.  Even the Proposed Action Alternative discribed on page 36 (Table 2) indicates the potential for an adverse environmental impact to organisms due to salinity and temperature.  Perhaps this alternative can be supplemented by the development of an action strategy.  To facilitate this, an inter-agency/interested party telephone conference committee could be coordinated.  In addition, a grant/prize could be awarded to anyone who could remediate the problem.  Even I have two ideas that could revolutionalize the industry, so consider the concerted efforts of the great inventors of the world!  With regard to violations, will there be a &quot;flat fee&quot; or a &quot;weighted fee,&quot; based an amount of ballast water, ship size, or economic considerations?  Of course, incurring a large &quot;flat fee&quot; would be onerous to the small mercant vessel owners and incurring a small &quot;flat fee&quot; may not be worth the associated hastle of compliance to some large vessel operators.  Should a fund supported from violation fees be set up to remediate past and future ballast water-related impact areas?  Should &quot;spot check&quot; surviellance become an intensive routine?  How many repeated violations would lead to further punitive action?  Should these discharges also be regulated by the USEPA  NPDES Program?  Your document claims that you do not plan to hold a public meeting unless an explanation of its benefit is provided.  It has been my experience that the public has played an important role in many of the major developments of all phases of environmental management.  Certainly, the USCG in its newly designated role of support of Homeland Security, can justify holding a public meeting regarding an issue that is definitely in the public interest.  By so doing, I am sure that your excellant program will become even better!<br/>"
USCG-2003-14273-0008,
USCG-2003-14273-0006,
USCG-2003-14273-0035-0005,
USCG-2003-14273-0035-0003,
USCG-2003-14273-0025,
